index,latlong,void,postal_code
0,"40.71, -73.94",11206,11206
1,"40.79, -73.97",10025,10025
2,"40.74, -74.0",10011,10011
3,"40.75, -73.97",10017,10017
4,"40.82, -73.95",10031,10031
5,"40.8, -73.97",10025,10025
6,"40.73, -73.98",10009,10009
7,"40.78, -73.95",10128,10128
8,"40.84, -73.94",10032,10032
9,"40.75, -73.98",10016,10016
10,"40.77, -73.98",10023,10023
11,"40.76, -73.96",10065,10065
12,"40.74, -73.97",10010,10010
13,"40.86, -73.93",10040,10040
14,"40.8, -73.96",10025,10025
15,"40.74, -73.98",10010,10010
16,"40.71, -74.01",10007,10007
17,"40.74, -73.99",10010,10010
18,"40.76, -73.97",10022,10022
19,"40.77, -73.95",10075,10075
20,"40.77, -73.99",10019,10019
21,"40.83, -73.91",10456,10456
22,"40.79, -73.98",10024,10024
23,"40.72, -74.01",10013,10013
24,"40.73, -73.99",10003,10003
25,"40.79, -73.94",10029,10029
26,"40.82, -73.94",10030,10030
27,"40.76, -73.98",10020,10020
28,"40.75, -73.99",10001,10001
29,"40.75, -74.0",10001,10001
30,"40.72, -74.0",10013,10013
31,"40.73, -73.86",11374,11374
32,"40.78, -73.96",10028,10028
33,"40.71, -73.83",11415,11415
34,"40.77, -73.96",10021,10021
35,"40.69, -73.95",11216,11216
36,"40.75, -73.71",11040,11040
37,"40.75, -73.96",10044,10044
38,"40.76, -73.99",10036,10036
39,"40.74, -73.95",11101,11101
40,"40.78, -73.98",10023,10023
41,"40.71, -73.85",11375,11375
42,"40.78, -73.94",11102,11102
43,"40.66, -73.93",11203,11203
44,"40.66, -73.98",11215,11215
45,"40.74, -74.01",10014,10014
46,"40.69, -74.0",11231,11231
47,"40.73, -73.85",11375,11375
48,"40.73, -74.0",10012,10012
49,"40.62, -74.03",11209,11209
50,"40.72, -73.95",11222,11222
51,"40.71, -74.0",10038,10038
52,"40.59, -73.96",11235,11235
53,"40.72, -73.94",11222,11222
54,"40.58, -73.97",11224,11224
55,"40.78, -73.99",10069,10069
56,"40.87, -73.93",10034,10034
57,"40.71, -73.99",10002,10002
58,"40.78, -73.78",11360,11360
59,"40.8, -73.94",10035,10035
60,"40.79, -73.96",10029,10029
61,"40.73, -74.01",10014,10014
62,"40.69, -73.97",11205,11205
63,"40.76, -74.0",10018,10018
64,"40.87, -73.92",10034,10034
65,"40.68, -73.91",11233,11233
66,"41.04, -73.54",6902,06902
67,"40.72, -73.99",10002,10002
68,"40.74, -73.96",11109,11109
69,"40.67, -73.94",11213,11213
70,"40.74, -73.88",11373,11373
71,"40.77, -73.97",10065,10065
72,"40.7, -73.99",11201,11201
73,"40.77, -73.93",11102,11102
74,"40.69, -73.98",11201,11201
75,"40.83, -73.94",10031,10031
76,"40.66, -73.91",11212,11212
77,"40.72, -73.98",10002,10002
78,"40.77, -73.83",11354,11354
79,"40.79, -73.95",10029,10029
80,"40.62, -73.96",11230,11230
81,"40.65, -74.01",11220,11220
82,"40.73, -74.03",7311,07311
83,"40.7, -73.92",11237,11237
84,"40.7, -74.01",10038,10038
85,"40.81, -73.96",10027,10027
86,"40.65, -73.96",11226,11226
87,"40.68, -73.96",11238,11238
88,"40.65, -73.97",11224,11224
89,"40.77, -73.91",11105,11105
90,"40.75, -73.88",11372,11372
91,"40.74, -73.86",11368,11368
92,"40.67, -73.97",11215,11215
93,"40.81, -73.92",10454,10454
94,"40.71, -73.96",11211,11211
95,"40.69, -73.96",11205,11205
96,"40.74, -73.92",11377,11377
97,"40.78, -73.91",11105,11105
98,"40.83, -73.95",10031,10031
99,"40.76, -73.91",11103,11103
100,"40.78, -74.01",7093,07093
101,"40.69, -73.92",11221,11221
102,"40.86, -73.91",10453,10453
103,"40.8, -73.95",10026,10026
104,"40.85, -73.93",10033,10033
105,"40.74, -73.93",11101,11101
106,"40.69, -73.99",11201,11201
107,"40.74, -73.87",11373,11373
108,"40.87, -73.91",10034,10034
109,"40.67, -73.99",11215,11215
110,"40.77, -73.92",11102,11102
111,"40.71, -73.95",11206,11206
112,"40.75, -74.01",10014,10014
113,"40.67, -73.95",11216,11216
114,"40.7, -73.94",11206,11206
115,"40.71, -74.02",10280,10280
116,"40.75, -73.94",11101,11101
117,"40.67, -73.98",11215,11215
118,"40.68, -73.95",11216,11216
119,"40.84, -73.83",10461,10461
120,"40.68, -73.92",11233,11233
121,"40.69, -73.91",11207,11207
122,"40.63, -73.94",11210,11210
123,"40.87, -73.9",10468,10468
124,"40.64, -73.96",11226,11226
125,"40.71, -73.97",11211,11211
126,"40.68, -73.98",11217,11217
127,"40.77, -73.82",11354,11354
128,"40.84, -73.95",10031,10031
129,"40.7, -73.98",11205,11205
130,"40.76, -73.95",10044,10044
131,"40.71, -73.89",11385,11385
132,"40.72, -73.96",11249,11249
133,"40.69, -73.9",11385,11385
134,"40.74, -73.89",11377,11377
135,"40.89, -73.91",10471,10471
136,"40.78, -73.97",10024,10024
137,"40.72, -73.86",11374,11374
138,"40.6, -74.0",11214,11214
139,"40.65, -73.95",11226,11226
140,"40.87, -73.89",10458,10458
141,"40.81, -73.95",10027,10027
142,"40.7, -73.9",11385,11385
143,"40.85, -73.94",10033,10033
144,"40.63, -73.99",11219,11219
145,"40.68, -73.99",11231,11231
146,"40.65, -73.98",11218,11218
147,"40.72, -73.81",11367,11367
148,"40.64, -73.97",11218,11218
149,"40.67, -73.96",11225,11225
150,"40.71, -73.91",11385,11385
151,"40.82, -73.96",10027,10027
152,"40.75, -73.92",11101,11101
153,"40.68, -73.94",11216,11216
154,"40.81, -73.94",10037,10037
155,"40.74, -73.85",11368,11368
156,"40.78, -73.92",11105,11105
157,"40.66, -73.99",11215,11215
158,"40.88, -73.9",10463,10463
159,"40.7, -73.88",11385,11385
160,"40.58, -73.93",11235,11235
161,"40.69, -73.94",11221,11221
162,"40.84, -73.93",10039,10039
163,"40.76, -73.82",11355,11355
164,"40.68, -74.0",11231,11231
165,"40.75, -73.95",11101,11101
166,"40.71, -73.92",11385,11385
167,"40.69, -73.93",11221,11221
168,"40.73, -74.22",7111,07111
169,"40.8, -73.93",10035,10035
170,"40.61, -73.98",11204,11204
171,"40.61, -74.03",11209,11209
172,"40.73, -73.97",10002,10002
173,"40.74, -73.83",11367,11367
174,"40.73, -73.94",11222,11222
175,"40.67, -73.92",11233,11233
176,"40.73, -73.87",11374,11374
177,"40.67, -74.0",11231,11231
178,"40.72, -73.85",11375,11375
179,"40.77, -73.94",10044,10044
180,"40.73, -73.82",11367,11367
181,"40.77, -73.9",11105,11105
182,"40.64, -73.95",11226,11226
183,"40.67, -73.93",11213,11213
184,"40.86, -73.92",10040,10040
185,"40.63, -74.02",11209,11209
186,"40.72, -73.84",11375,11375
187,"40.7, -73.83",11418,11418
188,"40.76, -73.92",11101,11101
189,"40.83, -73.86",10472,10472
190,"40.85, -73.87",10462,10462
191,"40.58, -73.95",11235,11235
192,"40.72, -74.02",10282,10282
193,"40.6, -73.76",11691,11691
194,"40.71, -73.82",11435,11435
195,"40.7, -73.93",11206,11206
196,"40.66, -73.95",11225,11225
197,"40.79, -73.93",10035,10035
198,"40.85, -73.85",10461,10461
199,"40.75, -73.89",11372,11372
200,"40.87, -73.88",10467,10467
201,"40.73, -73.95",11222,11222
202,"40.66, -73.96",11225,11225
203,"40.65, -73.94",11203,11203
